Cohort	Intensity1	Intensity2	Intensity3	Intensity4
a std 1 200uM	22892994.46	17536.8	24810587.58	17606.4
b std 2	13903777.29	19085.0	13833531.59	19824.6
c std 3	8063231.16284	17769.2	7464764.248	18339.4
d std 4	3819500.476	18385.4	3950129.492	19026.480291
e std 5	2262062.256	18623.6	1885698.4	19008.6
f std 6	1074552.6	20093.8	934553.0	19135.8
g std 7	544837.2	18275.0	503534.4	16582.0
h std 8	291840.4	19491.6	288003.6	18641.280291
i std 9	122482.2	18352.2	117064.0	19520.6
j std 10	17417.333678	18683.0	20539.6	17689.0
