Sample	Cohort	Fragment Name	Intensity	Metabolite Name
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 191/111	2733038.816	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 192/111	37232.2	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 192/112	155852.4	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 193/112	1415.4	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 193/113	25454.4	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 194/113	1901	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 194/114	3941.6	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 195/114	1775	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 195/115	1384	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 196/115	1459	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 196/116	1639	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Citrate 197/116	1865	Citrate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 146/41	13530.8	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 147/41	2090.8	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 147/42	2072.6	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 148/41	1758	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 148/42	1660	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 148/43	1419	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 149/41	1933	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 149/42	1647	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 149/43	1766	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 150/42	1649	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 150/43	1777	Glutamate
Experimental Sample (S119)	A.  G9 13C-Gln 0min	Glutamate 151/43	1138	Glutamate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 191/111	1673957.2	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 192/111	21913.4	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 192/112	102063.6	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 193/112	4397	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 193/113	9126	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 194/113	1082	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 194/114	1949	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 195/114	1640	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 195/115	1024	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 196/115	1031	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 196/116	1516	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Citrate 197/116	1344	Citrate
Experimental Sample (S120)	B.  G9 13C-Gln 5min	Glutamate 146/41	13133.2	Glutamate
